      531       529       544
      514       531       516
      516       531       538
      500       516       506
      482       500       486
      498       482       480
      480       482       463
      463       482       467
      480       463       461
      467       482       486
      463       467       449
      467       486       471
      449       467       451
      463       449       445
      445       449       431
      431       449       433
      433       449       451
      433       451       441
      431       433       416
      441       451       460
      433       441       421
      460       451       471
      460       471       479
      479       471       494
      460       479       464
      441       460       446
      421       441       427
      433       421       416
      416       421       400
      400       421       409
      416       400       397
      494       471       486
      494       486       506
      494       506       512
      512       506       524
      494       512       497
      479       494       497
      479       497       483
      483       497       509
      479       483       464
      464       483       468
      468       483       491
      464       468       450
      509       497       515
      483       509       491
      491       509       510
      460       464       446
      446       464       450
      446       450       432
      432       450       437
      446       432       427
      427       432       414
      414       432       417
      427       414       409
      409       414       396
      427       409       421
      396       414       399
      409       396       392
      437       450       458
      432       437       417
      417       437       429
      429       437       447
      417       429       408
      447       437       458
      447       458       466
      466       458       478
      447       466       452
      429       447       434
      408       429       415
      417       408       399
      399       408       391
      391       408       398
      399       391       381
      414       417       399
      466       478       485
      447       452       434
      434       452       448
      448       452       465
      434       448       430
      478       458       468
      478       468       491
      478       491       499
      468       458       450
      499       491       510
      478       499       485
      485       499       503
      503       499       526
      485       503       495
      495       503       520
      485       495       474
      452       466       474
      474       466       485
      452       474       465
      465       474       484
      448       465       462
      430       448       443
      434       430       415
      415       430       411
      467       471       451
      400       409       392
      400       392       383
      383       392       371
      400       383       397
      397       383       378
      378       383       364
      371       392       377
      383       371       364
      364       371       352
      352       371       357
      364       352       347
      357       371       377
      357       377       367
      367       377       381
      367       381       373
      381       377       396
      396       377       392
      373       381       391
      373       391       379
      367       373       354
      357       367       346
      379       391       398
      373       379       358
      379       398       388
      354       373       358
      367       354       346
      346       354       333
      333       354       339
      346       333       329
      339       354       358
      339       358       349
      349       358       368
      339       349       331
      333       339       321
      329       333       314
      346       329       341
      352       357       341
      352       341       334
      341       357       346
      334       341       317
      352       334       347
      364       347       359
      379       388       368
      379       368       358
      368       388       382
      388       398       411
      388       411       401
      411       398       415
      415       398       408
      378       364       359
      378       359       375
      331       349       344
      349       368       362
      339       331       321
      321       331       310
      310       331       323
      321       310       298
      298       310       289
      321       298       314
      396       399       381
      431       416       413
      411       430       423
      524       506       516
      497       512       515
      515       512       532
      314       298       292
      512       524       532
      474       495       484
      484       495       502
      502       495       520
      484       502       487
      487       502       501
      484       487       476
      476       487       481
      481       487       501
      476       481       462
      501       502       518
      476       462       465
      476       465       484
      415       429       434
      510       509       528
      314       333       321
      509       515       530
      329       314       307
      319       322       303
      298       289       278
       43        51        40
      311       308       290
       77        71        90
      302       327       299
      318       327       336
      324       302       308
      427       441       446
       92        82        99
